BPLC_NM,BZSTAT_SE_NM,CLSBIZ_YMD,CRD_INFO_X,CRD_INFO_Y,DAT_UPDT_PNT,DAT_UPDT_SE,DTL_SALS_STTS_CD,DTL_SALS_STTS_NM,LAST_MDFCN_PNT,LCPMT_RTRCN_YMD,LCPMT_YMD,LCTN_AREA,LCTN_ZIP,LOTNO_ADDR,MNG_NO,OPN_ATMY_GRP_CD,ROAD_NM_ADDR,ROAD_NM_ZIP,ROBIZ_YMD,SALS_STTS_CD,SALS_STTS_NM,STOR_SE_NM,TCBIZ_BGNG_YMD,TCBIZ_END_YMD,TELNO
GS 더프레시 상월곡점,그 밖의 대규모점포,,203941.399870546,456171.049452881,2026-08-22 22:18:10,I,5,영업개시전,2026-08-21 17:48:48,,2026-08-21,297.5,,서울특별시 성북구 상월곡동 101 동아에코빌아파트,2026307029907500002,3070000,"서울특별시 성북구 장월로1길 28 (상월곡동, 동아에코빌아파트)",02753,,01,영업/정상,준대규모점포,,,02-2006-2364
GS THE FRESH 송파석촌역점,구분없음,,209134.86711622,444864.58985226,2026-08-19 22:18:10,I,5,영업개시전,2026-08-18 17:15:51,,2026-08-18,288.84,,서울특별시 송파구 석촌동 166-12 101호,2026323029107500004,3230000,"서울특별시 송파구 송파대로45길 16, 1층 101호 (석촌동)",05610,,01,영업/정상,준대규모점포,,,02-2006-2364
롯데쇼핑(주) 롯데슈퍼 청주산남점,구분없음,,241557.982164585,345671.322735668,2026-08-15 22:48:12,I,5,영업개시전,2026-08-14 15:38:20,,2026-08-14,655.58,,충청북도 청주시 서원구 산남동 663 하모니마트,2026571029707500002,5710000,"충청북도 청주시 서원구 두꺼비로78번길 12, 101호 (산남동)",28625,,01,영업/정상,준대규모점포,,,02-2143-8000
롯데슈퍼 청주복대자이가맹점,구분없음,,239854.313346897,348352.859522783,2026-08-15 22:48:11,I,5,영업개시전,2026-08-14 11:27:26,,2026-08-14,190.68,,충청북도 청주시 흥덕구 복대동 100-28,2026571029707500001,5710000,"충청북도 청주시 흥덕구 산단로 13, B101~103호 (복대동)",28588,,01,영업/정상,준대규모점포,,,02-6954-7573
이마트에브리데이 잠실리센츠점,구분없음,,207624.424720682,445533.439634339,2026-08-04 22:18:10,I,5,영업개시전,2026-08-03 17:02:24,,2026-08-03,387.23,,서울특별시 송파구 잠실동 22-6 리센츠상가 지하1층 제이1호~제이19호,2026323029107500003,3230000,"서울특별시 송파구 올림픽로 145, 리센츠상가 지하1층 제이1호~제이19호 (잠실동)",05502,,01,영업/정상,준대규모점포,,,02-380-5042
GS THE FRESH 석촌고분역점,구분없음,,208394.981001621,444642.023012078,2026-07-29 22:18:10,I,5,영업개시전,2026-07-28 17:25:12,,2026-07-28,296.64,,서울특별시 송파구 삼전동 122 삼전레이크,2026323029107500002,3230000,"서울특별시 송파구 백제고분로31길 16-4, 1층 101호 (삼전동, 삼전레이크)",05603,,01,영업/정상,준대규모점포,,,02-2006-2364
롯데쇼핑(주) 롯데슈퍼 평택역점,구분없음,,207577.558056715,387700.245776573,2026-08-15 21:51:58,U,1,정상영업,2026-08-14 14:18:20,,2026-07-10,1425.88,,경기도 평택시 평택동 185-579 평택민자역사AK백화점,2026391041807500002,3910000,"경기도 평택시 평택로 51, 평택민자역사AK백화점 (평택동)",17917,,01,영업/정상,준대규모점포,,,031-615-1000
주식회사 홈플러스 익스프레스 금호2점,백화점,,201383.023709556,449744.280482389,2026-07-09 22:18:10,I,1,정상영업,2026-07-08 17:14:58,,2026-07-08,578.96,,서울특별시 성동구 금호동3가 1331 두산아파트 상가동,2026303010307500004,3030000,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",04724,,01,영업/정상,준대규모점포,,,02-2253-8541
주식회사 홈플러스 익스프레스 금호점,쇼핑센터,,201772.807083568,450250.366445197,2026-07-09 22:18:10,I,1,정상영업,2026-07-08 17:13:17,,2026-07-08,293.34,,서울특별시 성동구 금호동1가 481-5 신세계오피스텔,2026303010307500003,3030000,"서울특별시 성동구 행당로 6, 신세계오피스텔 (금호동1가)",04727,,01,영업/정상,준대규모점포,,,02-2292-8545
주식회사 홈플러스 익스프레스 왕십리점,복합쇼핑몰,,202806.018487131,451160.356013436,2026-07-09 22:18:10,I,1,정상영업,2026-07-08 17:04:35,,2026-07-08,264.3,,서울특별시 성동구 하왕십리동 966-11 유성빌딩,2026303010307500002,3030000,"서울특별시 성동구 왕십리로 333, 유성빌딩 (하왕십리동)",04715,,01,영업/정상,준대규모점포,,,02-2299-8545
홈플러스(주)익스프레스응암점,그 밖의 대규모점포,,192674.132684249,454664.166810326,2026-07-08 22:48:10,U,1,정상영업,2026-07-07 15:32:11,,2026-07-07,272,122-923,서울특별시 은평구 응암3동 124번지 17호,2011311013107500003,3110000,서울특별시 은평구 응암로 247 (응암동),,,01,영업/정상,준대규모점포,,,02-386-8547
홈플러스(주)익스프레스 불광점,그 밖의 대규모점포,,194003.88391829,457260.736492005,2026-07-08 22:48:10,U,1,정상영업,2026-07-07 16:17:49,,2026-07-06,200.9,122-856,서울특별시 은평구 불광1동 239번지 9호,2012311013107500002,3110000,서울특별시 은평구 불광로 121 (불광동),,,01,영업/정상,준대규모점포,,,02-356-8545
이마트에브리데이 진해경화점,그 밖의 대규모점포,,353075.990031806,185857.54135216,2026-07-31 21:48:10,U,1,정상영업,2026-07-30 13:16:58,,2026-06-25,393.39,,경상남도 창원시 진해구 경화동 1474,2026567057407500001,5670000,"경상남도 창원시 진해구 조천북로 76, 1동 1층 (경화동)",51584,,01,영업/정상,준대규모점포,,,
GS THE FRESH 양천신월점,구분없음,,186065.684789257,446251.76410763,2026-06-24 22:18:10,I,1,정상영업,2026-06-23 17:29:35,,2026-06-23,694.2,,서울특별시 양천구 신월동 575-17,2026314027207500002,3140000,"서울특별시 양천구 남부순환로79길 37, 1층 107호 (신월동)",08064,,01,영업/정상,준대규모점포,,,
롯데쇼핑(주) 롯데몰 청량리점,복합쇼핑몰,,203917.462724049,452951.998520792,2026-07-24 22:18:10,U,1,정상영업,2026-07-23 13:39:41,,2026-06-23,17852.4,,서울특별시 동대문구 전농동 620-47 청량리역 롯데캐슬 SKY-L65,2026305021007500003,3050000,"서울특별시 동대문구 왕산로 200, 청량리역 롯데캐슬 SKY-L65 (전농동)",02559,,01,영업/정상,대규모점포,,,1577-0001
GS THE FRESH 양평역점,구분없음,,189931.914408756,446958.414339039,2026-06-25 03:03:03,U,1,정상영업,2026-06-24 18:01:15,,2026-06-19,185.32,,서울특별시 영등포구 양평동1가 265-1 상가동 104~108호,2026318027007500001,3180000,"서울특별시 영등포구 영등포로11길 19, 상가동 1층 104~108호 (양평동1가, 영등포자이 디그니티 아파트)",07273,,01,영업/정상,준대규모점포,,,02-2006-2364
GS THE FRESH 송파장지역점,구분없음,,211199.027935652,441919.794281988,2026-05-20 22:18:10,I,5,영업개시전,2026-05-19 16:51:23,,2026-05-19,222.35,,서울특별시 송파구 장지동 842-1 1층 105~110호,2026323029107500001,3230000,"서울특별시 송파구 충민로 90, 1층 105~110호 (장지동)",05815,,01,영업/정상,준대규모점포,,,02-2006-2364
롯데마트 장암점,대형마트,,204630.543411273,469034.163890834,2026-05-15 03:03:03,U,1,정상영업,2026-05-14 13:40:12,,2026-05-14,6406.64,,경기도 의정부시 장암동 38-10 롯데마트장암점,2026382042207500001,3820000,"경기도 의정부시 장곡로 224, 롯데마트장암점 (장암동)",11722,,01,영업/정상,대규모점포,,,031-849-2505
GS더프레시 성북정릉점,구분없음,,200575.420521471,457360.617372111,2026-05-14 22:18:10,I,1,정상영업,2026-05-13 11:02:16,,2026-05-13,201.6,,서울특별시 성북구 정릉동 239 정릉풍림아이원,2026307029907500001,3070000,"서울특별시 성북구 솔샘로25길 20, 정릉풍림아이원 (정릉동)",02702,,01,영업/정상,준대규모점포,,,02-971-5226
롯데슈퍼 구리수택점,구분없음,,212336.678807743,454812.956816602,2026-04-30 21:18:10,I,5,영업개시전,2026-04-29 17:01:35,,2026-04-29,142,,경기도 구리시 수택동 437-10,2026398012907500001,3980000,"경기도 구리시 원수택로 37, 1층 (수택동)",11933,,01,영업/정상,준대규모점포,,,031-569-1919
