행정구역명,TP_BUZ_NO,업소수
경기도 남양주시,4010,661
경기도 남양주시,4020,755
경기도 남양주시,8001,3630
경기도 남양주시,8004,251
경기도 남양주시,8005,323
경기도 남양주시,8006,1756
경기도 남양주시,8021,935
경기도 남양주시,8301,488
경기도 성남시 분당구,4010,387
경기도 성남시 분당구,4020,240
경기도 성남시 분당구,8001,2076
경기도 성남시 분당구,8004,419
경기도 성남시 분당구,8005,203
경기도 성남시 분당구,8006,1723
경기도 성남시 분당구,8021,563
경기도 성남시 분당구,8301,413
경기도 안산시 상록구,4010,373
경기도 안산시 상록구,4020,370
경기도 안산시 상록구,8001,1644
경기도 안산시 상록구,8004,100
경기도 안산시 상록구,8005,166
경기도 안산시 상록구,8006,679
경기도 안산시 상록구,8021,510
경기도 안산시 상록구,8301,235
경기도 용인시 처인구,4010,444
경기도 용인시 처인구,4020,343
경기도 용인시 처인구,8001,2043
경기도 용인시 처인구,8004,87
경기도 용인시 처인구,8005,169
경기도 용인시 처인구,8006,920
경기도 용인시 처인구,8021,457
경기도 용인시 처인구,8301,206
경기도 평택시,4010,924
경기도 평택시,4020,706
경기도 평택시,8001,4219
경기도 평택시,8004,297
경기도 평택시,8005,458
경기도 평택시,8006,1947
경기도 평택시,8021,1081
경기도 평택시,8301,430
경상북도 경산시,4010,310
경상북도 경산시,4020,329
경상북도 경산시,8001,2147
경상북도 경산시,8004,101
경상북도 경산시,8005,184
경상북도 경산시,8006,886
경상북도 경산시,8021,538
경상북도 경산시,8301,258
대전광역시 유성구,4010,380
대전광역시 유성구,4020,349
대전광역시 유성구,8001,2543
대전광역시 유성구,8004,288
대전광역시 유성구,8005,229
대전광역시 유성구,8006,1608
대전광역시 유성구,8021,622
대전광역시 유성구,8301,311
서울특별시 강남구,4010,803
서울특별시 강남구,4020,379
서울특별시 강남구,8001,4474
서울특별시 강남구,8004,956
서울특별시 강남구,8005,447
서울특별시 강남구,8006,3684
서울특별시 강남구,8021,873
서울특별시 강남구,8301,548
서울특별시 마포구,4010,511
서울특별시 마포구,4020,293
