table,STRD_YYMM,_file,롯데카드,비씨카드,비씨카드 기타,삼성카드,신한카드,우리카드,하나카드,현대카드,KB국민카드,NH농협카드,비씨카드(자체)
table1_전업8개사,202601,카드이용실적_전업+8개+카드사+월별_20260910 2월.xls,6339676.0,,,12434681.0,12897352.0,4652307.0,4175726.0,11587995.0,9915434.0,,406729.0
table1_전업8개사,202602,카드이용실적_전업+8개+카드사+월별_20260910 (1).xls,11944660.0,,,24061810.0,24520877.0,8991467.0,7986843.0,22271572.0,19027507.0,,781623.0
table1_전업8개사,202603,카드이용실적_전업+8개+카드사+월별_20260910 (2).xls,18132397.0,,,36821567.0,37236227.0,13837857.0,12341849.0,34264915.0,29286777.0,,1152744.0
table1_전업8개사,202604,카드이용실적_전업+8개+카드사+월별_20260910 (3).xls,24081699.0,,,48970054.0,49676754.0,18586036.0,16411953.0,45584352.0,39130618.0,,1558105.0
table1_전업8개사,202605,카드이용실적_전업+8개+카드사+월별_20260910 (4).xls,30273152.0,,,61555534.0,62437931.0,23564817.0,20624431.0,57258308.0,49326928.0,,1948088.0
table1_전업8개사,202606,카드이용실적_전업+8개+카드사+월별_20260910 (5).xls,36353542.0,,,74142752.0,75043733.0,28408347.0,24851559.0,68888853.0,59371171.0,,2335746.0
table2_회원은행포함,202601,카드이용실적_월별_20260910.xls,6339676.0,1764369.0,3833887.0,12434681.0,12897352.0,4652307.0,4175726.0,11587995.0,9915434.0,4592470.0,
table2_회원은행포함,202602,카드이용실적_월별_20260910 2월.xls,11944660.0,3367942.0,7297025.0,24061810.0,24520877.0,8991467.0,7986843.0,22271572.0,19027507.0,8795222.0,
table2_회원은행포함,202603,카드이용실적_월별_20260910 (1).xls,18132397.0,5097485.0,11025895.0,36821567.0,37236227.0,13837857.0,12341849.0,34264915.0,29286777.0,13575903.0,
table2_회원은행포함,202604,카드이용실적_월별_20260910 (2).xls,24081699.0,6828192.0,14598435.0,48970054.0,49676754.0,18586036.0,16411953.0,45584352.0,39130618.0,18211391.0,
table2_회원은행포함,202605,카드이용실적_월별_20260910 (3).xls,30273152.0,8581399.0,18215266.0,61555534.0,62437931.0,23564817.0,20624431.0,57258308.0,49326928.0,22979786.0,
table2_회원은행포함,202606,카드이용실적_월별_20260910 (4).xls,36353542.0,10282788.0,21636898.0,74142752.0,75043733.0,28408347.0,24851559.0,68888853.0,59371171.0,27574250.0,
