"행정구역","2026년01월_계_총인구수","2026년01월_계_연령구간인구수","2026년01월_계_0~9세","2026년01월_계_10~19세","2026년01월_계_20~29세","2026년01월_계_30~39세","2026년01월_계_40~49세","2026년01월_계_50~59세","2026년01월_계_60~69세","2026년01월_계_70~79세","2026년01월_계_80~89세","2026년01월_계_90~99세","2026년01월_계_100세 이상","2026년01월_남_총인구수","2026년01월_남_연령구간인구수","2026년01월_남_0~9세","2026년01월_남_10~19세","2026년01월_남_20~29세","2026년01월_남_30~39세","2026년01월_남_40~49세","2026년01월_남_50~59세","2026년01월_남_60~69세","2026년01월_남_70~79세","2026년01월_남_80~89세","2026년01월_남_90~99세","2026년01월_남_100세 이상","2026년01월_여_총인구수","2026년01월_여_연령구간인구수","2026년01월_여_0~9세","2026년01월_여_10~19세","2026년01월_여_20~29세","2026년01월_여_30~39세","2026년01월_여_40~49세","2026년01월_여_50~59세","2026년01월_여_60~69세","2026년01월_여_70~79세","2026년01월_여_80~89세","2026년01월_여_90~99세","2026년01월_여_100세 이상","2026년02월_계_총인구수","2026년02월_계_연령구간인구수","2026년02월_계_0~9세","2026년02월_계_10~19세","2026년02월_계_20~29세","2026년02월_계_30~39세","2026년02월_계_40~49세","2026년02월_계_50~59세","2026년02월_계_60~69세","2026년02월_계_70~79세","2026년02월_계_80~89세","2026년02월_계_90~99세","2026년02월_계_100세 이상","2026년02월_남_총인구수","2026년02월_남_연령구간인구수","2026년02월_남_0~9세","2026년02월_남_10~19세","2026년02월_남_20~29세","2026년02월_남_30~39세","2026년02월_남_40~49세","2026년02월_남_50~59세","2026년02월_남_60~69세","2026년02월_남_70~79세","2026년02월_남_80~89세","2026년02월_남_90~99세","2026년02월_남_100세 이상","2026년02월_여_총인구수","2026년02월_여_연령구간인구수","2026년02월_여_0~9세","2026년02월_여_10~19세","2026년02월_여_20~29세","2026년02월_여_30~39세","2026년02월_여_40~49세","2026년02월_여_50~59세","2026년02월_여_60~69세","2026년02월_여_70~79세","2026년02월_여_80~89세","2026년02월_여_90~99세","2026년02월_여_100세 이상","2026년03월_계_총인구수","2026년03월_계_연령구간인구수","2026년03월_계_0~9세","2026년03월_계_10~19세","2026년03월_계_20~29세","2026년03월_계_30~39세","2026년03월_계_40~49세","2026년03월_계_50~59세","2026년03월_계_60~69세","2026년03월_계_70~79세","2026년03월_계_80~89세","2026년03월_계_90~99세","2026년03월_계_100세 이상","2026년03월_남_총인구수","2026년03월_남_연령구간인구수","2026년03월_남_0~9세","2026년03월_남_10~19세","2026년03월_남_20~29세","2026년03월_남_30~39세","2026년03월_남_40~49세","2026년03월_남_50~59세","2026년03월_남_60~69세","2026년03월_남_70~79세","2026년03월_남_80~89세","2026년03월_남_90~99세","2026년03월_남_100세 이상","2026년03월_여_총인구수","2026년03월_여_연령구간인구수","2026년03월_여_0~9세","2026년03월_여_10~19세","2026년03월_여_20~29세","2026년03월_여_30~39세","2026년03월_여_40~49세","2026년03월_여_50~59세","2026년03월_여_60~69세","2026년03월_여_70~79세","2026년03월_여_80~89세","2026년03월_여_90~99세","2026년03월_여_100세 이상","2026년04월_계_총인구수","2026년04월_계_연령구간인구수","2026년04월_계_0~9세","2026년04월_계_10~19세","2026년04월_계_20~29세","2026년04월_계_30~39세","2026년04월_계_40~49세","2026년04월_계_50~59세","2026년04월_계_60~69세","2026년04월_계_70~79세","2026년04월_계_80~89세","2026년04월_계_90~99세","2026년04월_계_100세 이상","2026년04월_남_총인구수","2026년04월_남_연령구간인구수","2026년04월_남_0~9세","2026년04월_남_10~19세","2026년04월_남_20~29세","2026년04월_남_30~39세","2026년04월_남_40~49세","2026년04월_남_50~59세","2026년04월_남_60~69세","2026년04월_남_70~79세","2026년04월_남_80~89세","2026년04월_남_90~99세","2026년04월_남_100세 이상","2026년04월_여_총인구수","2026년04월_여_연령구간인구수","2026년04월_여_0~9세","2026년04월_여_10~19세","2026년04월_여_20~29세","2026년04월_여_30~39세","2026년04월_여_40~49세","2026년04월_여_50~59세","2026년04월_여_60~69세","2026년04월_여_70~79세","2026년04월_여_80~89세","2026년04월_여_90~99세","2026년04월_여_100세 이상","2026년05월_계_총인구수","2026년05월_계_연령구간인구수","2026년05월_계_0~9세","2026년05월_계_10~19세","2026년05월_계_20~29세","2026년05월_계_30~39세","2026년05월_계_40~49세","2026년05월_계_50~59세","2026년05월_계_60~69세","2026년05월_계_70~79세","2026년05월_계_80~89세","2026년05월_계_90~99세","2026년05월_계_100세 이상","2026년05월_남_총인구수","2026년05월_남_연령구간인구수","2026년05월_남_0~9세","2026년05월_남_10~19세","2026년05월_남_20~29세","2026년05월_남_30~39세","2026년05월_남_40~49세","2026년05월_남_50~59세","2026년05월_남_60~69세","2026년05월_남_70~79세","2026년05월_남_80~89세","2026년05월_남_90~99세","2026년05월_남_100세 이상","2026년05월_여_총인구수","2026년05월_여_연령구간인구수","2026년05월_여_0~9세","2026년05월_여_10~19세","2026년05월_여_20~29세","2026년05월_여_30~39세","2026년05월_여_40~49세","2026년05월_여_50~59세","2026년05월_여_60~69세","2026년05월_여_70~79세","2026년05월_여_80~89세","2026년05월_여_90~99세","2026년05월_여_100세 이상","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~9세","2026년06월_남_10~19세","2026년06월_남_20~29세","2026년06월_남_30~39세","2026년06월_남_40~49세","2026년06월_남_50~59세","2026년06월_남_60~69세","2026년06월_남_70~79세","2026년06월_남_80~89세","2026년06월_남_90~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~9세","2026년06월_여_10~19세","2026년06월_여_20~29세","2026년06월_여_30~39세","2026년06월_여_40~49세","2026년06월_여_50~59세","2026년06월_여_60~69세","2026년06월_여_70~79세","2026년06월_여_80~89세","2026년06월_여_90~99세","2026년06월_여_100세 이상"
"대구광역시  (2700000000)","2,352,249","2,352,249","133,545","212,996","252,223","285,023","334,864","412,334","379,999","224,019","101,103","15,852","291","1,152,176","1,152,176","68,621","109,197","132,177","151,997","167,097","201,184","181,525","99,262","37,118","3,950","48","1,200,073","1,200,073","64,924","103,799","120,046","133,026","167,767","211,150","198,474","124,757","63,985","11,902","243","2,351,461","2,351,461","133,157","212,989","251,102","284,536","334,323","411,757","380,674","225,477","101,036","16,116","294","1,151,654","1,151,654","68,388","109,140","131,711","151,621","167,050","200,810","181,869","99,853","37,132","4,034","46","1,199,807","1,199,807","64,769","103,849","119,391","132,915","167,273","210,947","198,805","125,624","63,904","12,082","248","2,350,042","2,350,042","132,564","212,717","249,677","285,160","333,270","409,926","381,544","227,384","101,163","16,339","298","1,150,700","1,150,700","68,087","108,914","130,897","151,909","166,562","199,975","182,188","100,782","37,230","4,111","45","1,199,342","1,199,342","64,477","103,803","118,780","133,251","166,708","209,951","199,356","126,602","63,933","12,228","253","2,349,360","2,349,360","131,987","212,646","248,823","285,394","332,593","409,460","381,795","228,635","101,182","16,543","302","1,150,292","1,150,292","67,793","108,867","130,473","151,985","166,326","199,640","182,393","101,311","37,310","4,149","45","1,199,068","1,199,068","64,194","103,779","118,350","133,409","166,267","209,820","199,402","127,324","63,872","12,394","257","2,349,305","2,349,305","131,363","212,823","248,128","285,727","332,053","408,947","382,007","229,937","101,316","16,695","309","1,150,137","1,150,137","67,487","108,951","130,042","152,159","166,052","199,362","182,553","101,882","37,400","4,202","47","1,199,168","1,199,168","63,876","103,872","118,086","133,568","166,001","209,585","199,454","128,055","63,916","12,493","262","2,348,165","2,348,165","130,923","212,793","247,258","285,821","331,806","408,408","381,859","230,854","101,395","16,741","307","1,149,388","1,149,388","67,231","108,935","129,542","152,192","165,993","199,030","182,448","102,321","37,430","4,220","46","1,198,777","1,198,777","63,692","103,858","117,716","133,629","165,813","209,378","199,411","128,533","63,965","12,521","261"
"대구광역시 중구 (2711000000)","101,099","101,099","8,171","7,511","13,515","18,232","14,961","14,223","11,460","8,086","4,240","682","18","48,285","48,285","4,185","3,690","6,141","9,270","7,660","6,909","5,350","3,330","1,555","192","3","52,814","52,814","3,986","3,821","7,374","8,962","7,301","7,314","6,110","4,756","2,685","490","15","101,081","101,081","8,174","7,532","13,483","18,213","14,975","14,210","11,468","8,092","4,221","694","19","48,285","48,285","4,195","3,712","6,132","9,219","7,700","6,896","5,346","3,331","1,558","193","3","52,796","52,796","3,979","3,820","7,351","8,994","7,275","7,314","6,122","4,761","2,663","501","16","101,349","101,349","8,188","7,532","13,566","18,309","15,001","14,233","11,453","8,129","4,209","710","19","48,421","48,421","4,204","3,713","6,153","9,263","7,720","6,905","5,343","3,369","1,549","199","3","52,928","52,928","3,984","3,819","7,413","9,046","7,281","7,328","6,110","4,760","2,660","511","16","101,576","101,576","8,204","7,559","13,595","18,393","15,007","14,269","11,441","8,138","4,225","725","20","48,547","48,547","4,218","3,735","6,159","9,323","7,720","6,920","5,332","3,374","1,561","202","3","53,029","53,029","3,986","3,824","7,436","9,070","7,287","7,349","6,109","4,764","2,664","523","17","101,643","101,643","8,176","7,584","13,615","18,439","15,008","14,257","11,411","8,171","4,236","726","20","48,562","48,562","4,207","3,743","6,163","9,333","7,718","6,908","5,325","3,401","1,563","197","4","53,081","53,081","3,969","3,841","7,452","9,106","7,290","7,349","6,086","4,770","2,673","529","16","101,754","101,754","8,178","7,612","13,618","18,534","15,016","14,286","11,344","8,183","4,232","732","19","48,626","48,626","4,218","3,759","6,178","9,373","7,729","6,913","5,281","3,408","1,566","198","3","53,128","53,128","3,960","3,853","7,440","9,161","7,287","7,373","6,063","4,775","2,666","534","16"
"대구광역시 동구 (2714000000)","339,167","339,167","19,066","25,956","33,780","44,225","46,564","56,074","56,475","37,320","17,135","2,524","48","165,669","165,669","9,822","13,429","17,632","23,639","23,849","27,612","26,332","16,315","6,380","650","9","173,498","173,498","9,244","12,527","16,148","20,586","22,715","28,462","30,143","21,005","10,755","1,874","39","338,753","338,753","18,890","25,903","33,646","44,100","46,370","56,024","56,536","37,513","17,155","2,572","44","165,398","165,398","9,705","13,402","17,570","23,562","23,749","27,596","26,353","16,397","6,394","663","7","173,355","173,355","9,185","12,501","16,076","20,538","22,621","28,428","30,183","21,116","10,761","1,909","37","338,406","338,406","18,778","25,883","33,415","44,109","46,245","55,741","56,580","37,837","17,155","2,615","48","165,224","165,224","9,646","13,375","17,462","23,594","23,695","27,451","26,378","16,553","6,384","678","8","173,182","173,182","9,132","12,508","15,953","20,515","22,550","28,290","30,202","21,284","10,771","1,937","40","338,262","338,262","18,738","25,889","33,238","44,126","46,155","55,629","56,583","38,001","17,207","2,647","49","165,087","165,087","9,648","13,369","17,339","23,594","23,641","27,384","26,397","16,606","6,411","690","8","173,175","173,175","9,090","12,520","15,899","20,532","22,514","28,245","30,186","21,395","10,796","1,957","41","338,260","338,260","18,660","25,933","33,056","44,223","46,124","55,574","56,557","38,195","17,223","2,668","47","165,123","165,123","9,632","13,368","17,248","23,657","23,637","27,355","26,410","16,679","6,426","703","8","173,137","173,137","9,028","12,565","15,808","20,566","22,487","28,219","30,147","21,516","10,797","1,965","39","338,476","338,476","18,665","25,990","32,990","44,355","46,136","55,561","56,499","38,332","17,208","2,692","48","165,217","165,217","9,642","13,376","17,210","23,720","23,638","27,352","26,384","16,755","6,423","709","8","173,259","173,259","9,023","12,614","15,780","20,635","22,498","28,209","30,115","21,577","10,785","1,983","40"
"대구광역시 서구 (2717000000)","164,018","164,018","6,891","9,783","14,556","19,677","19,512","28,700","33,562","21,019","9,070","1,226","22","81,177","81,177","3,572","4,920","7,745","11,040","10,496","14,603","16,146","9,104","3,285","265","1","82,841","82,841","3,319","4,863","6,811","8,637","9,016","14,097","17,416","11,915","5,785","961","21","163,987","163,987","6,869","9,772","14,539","19,626","19,525","28,616","33,587","21,132","9,061","1,237","23","81,127","81,127","3,547","4,900","7,726","10,993","10,516","14,563","16,182","9,142","3,287","270","1","82,860","82,860","3,322","4,872","6,813","8,633","9,009","14,053","17,405","11,990","5,774","967","22","163,853","163,853","6,844","9,758","14,374","19,637","19,503","28,391","33,678","21,328","9,068","1,249","23","81,059","81,059","3,542","4,880","7,615","11,015","10,503","14,466","16,234","9,231","3,303","269","1","82,794","82,794","3,302","4,878","6,759","8,622","9,000","13,925","17,444","12,097","5,765","980","22","163,811","163,811","6,834","9,750","14,305","19,651","19,523","28,263","33,668","21,469","9,044","1,281","23","81,029","81,029","3,530","4,886","7,593","11,000","10,527","14,410","16,223","9,293","3,295","271","1","82,782","82,782","3,304","4,864","6,712","8,651","8,996","13,853","17,445","12,176","5,749","1,010","22","163,748","163,748","6,821","9,731","14,307","19,643","19,499","28,169","33,610","21,595","9,057","1,292","24","81,007","81,007","3,532","4,869","7,605","10,981","10,515","14,382","16,191","9,359","3,294","278","1","82,741","82,741","3,289","4,862","6,702","8,662","8,984","13,787","17,419","12,236","5,763","1,014","23","163,508","163,508","6,804","9,731","14,238","19,605","19,463","28,092","33,520","21,675","9,068","1,289","23","80,849","80,849","3,510","4,873","7,562","10,936","10,521","14,345","16,138","9,394","3,286","283","1","82,659","82,659","3,294","4,858","6,676","8,669","8,942","13,747","17,382","12,281","5,782","1,006","22"
"대구광역시 남구 (2720000000)","136,497","136,497","5,173","8,115","15,913","16,937","16,679","22,721","23,792","17,113","8,585","1,443","26","64,994","64,994","2,698","4,120","7,607","9,133","8,415","11,279","10,929","7,325","3,107","377","4","71,503","71,503","2,475","3,995","8,306","7,804","8,264","11,442","12,863","9,788","5,478","1,066","22","137,746","137,746","5,342","8,290","16,048","17,177","16,882","22,827","23,863","17,234","8,589","1,465","29","65,578","65,578","2,772","4,208","7,663","9,253","8,523","11,325","10,969","7,370","3,105","386","4","72,168","72,168","2,570","4,082","8,385","7,924","8,359","11,502","12,894","9,864","5,484","1,079","25","138,546","138,546","5,407","8,349","16,123","17,442","16,920","22,888","23,928","17,360","8,618","1,482","29","65,906","65,906","2,799","4,220","7,675","9,364","8,558","11,345","11,001","7,420","3,125","395","4","72,640","72,640","2,608","4,129","8,448","8,078","8,362","11,543","12,927","9,940","5,493","1,087","25","139,121","139,121","5,427","8,355","16,140","17,651","16,974","23,006","23,980","17,464","8,619","1,475","30","66,174","66,174","2,802","4,214","7,675","9,482","8,598","11,381","11,041","7,461","3,122","394","4","72,947","72,947","2,625","4,141","8,465","8,169","8,376","11,625","12,939","10,003","5,497","1,081","26","140,620","140,620","5,535","8,423","16,340","18,120","17,171","23,228","24,056","17,584","8,635","1,502","26","66,825","66,825","2,863","4,240","7,715","9,742","8,682","11,475","11,094","7,485","3,122","404","3","73,795","73,795","2,672","4,183","8,625","8,378","8,489","11,753","12,962","10,099","5,513","1,098","23","141,344","141,344","5,579","8,446","16,357","18,435","17,282","23,307","24,111","17,653","8,649","1,501","24","67,179","67,179","2,885","4,242","7,726","9,899","8,758","11,496","11,136","7,500","3,127","407","3","74,165","74,165","2,694","4,204","8,631","8,536","8,524","11,811","12,975","10,153","5,522","1,094","21"
"대구광역시 북구 (2723000000)","408,890","408,890","21,773","37,490","50,288","48,214","56,672","76,541","64,514","34,979","16,009","2,363","47","202,139","202,139","11,132","19,214","26,839","26,079","28,306","37,485","31,350","15,427","5,739","561","7","206,751","206,751","10,641","18,276","23,449","22,135","28,366","39,056","33,164","19,552","10,270","1,802","40","408,481","408,481","21,593","37,627","50,087","47,975","56,430","76,409","64,686","35,233","15,993","2,399","49","201,970","201,970","11,049","19,272","26,816","25,932","28,221","37,404","31,419","15,546","5,732","572","7","206,511","206,511","10,544","18,355","23,271","22,043","28,209","39,005","33,267","19,687","10,261","1,827","42","408,215","408,215","21,415","37,679","50,025","47,961","56,139","76,056","64,888","35,523","16,049","2,430","50","201,810","201,810","10,970","19,263","26,818","25,902","28,058","37,270","31,513","15,679","5,746","585","6","206,405","206,405","10,445","18,416","23,207","22,059","28,081","38,786","33,375","19,844","10,303","1,845","44","407,876","407,876","21,237","37,631","49,945","47,914","55,914","75,937","64,983","35,743","16,064","2,458","50","201,650","201,650","10,880","19,229","26,780","25,922","27,973","37,173","31,584","15,754","5,769","580","6","206,226","206,226","10,357","18,402","23,165","21,992","27,941","38,764","33,399","19,989","10,295","1,878","44","407,548","407,548","21,060","37,631","49,843","47,849","55,690","75,807","65,086","35,939","16,101","2,488","54","201,511","201,511","10,797","19,227","26,741","25,910","27,860","37,102","31,647","15,832","5,793","596","6","206,037","206,037","10,263","18,404","23,102","21,939","27,830","38,705","33,439","20,107","10,308","1,892","48","406,915","406,915","20,955","37,500","49,706","47,698","55,571","75,620","65,103","36,076","16,149","2,483","54","201,176","201,176","10,761","19,139","26,674","25,850","27,811","36,992","31,651","15,895","5,807","590","6","205,739","205,739","10,194","18,361","23,032","21,848","27,760","38,628","33,452","20,181","10,342","1,893","48"
"대구광역시 수성구 (2726000000)","409,332","409,332","24,430","47,403","42,721","42,521","63,065","74,231","59,465","35,631","16,859","2,955","51","196,589","196,589","12,589","24,627","22,686","21,465","29,378","34,926","27,991","15,648","6,434","838","7","212,743","212,743","11,841","22,776","20,035","21,056","33,687","39,305","31,474","19,983","10,425","2,117","44","409,297","409,297","24,598","47,229","42,358","42,597","63,083","74,147","59,523","35,860","16,845","3,005","52","196,537","196,537","12,666","24,531","22,473","21,495","29,471","34,838","28,018","15,755","6,425","858","7","212,760","212,760","11,932","22,698","19,885","21,102","33,612","39,309","31,505","20,105","10,420","2,147","45","408,930","408,930","24,572","47,097","41,917","42,811","62,958","73,855","59,655","36,134","16,841","3,038","52","196,296","196,296","12,650","24,454","22,232","21,593","29,453","34,679","28,051","15,873","6,438","866","7","212,634","212,634","11,922","22,643","19,685","21,218","33,505","39,176","31,604","20,261","10,403","2,172","45","408,743","408,743","24,455","47,022","41,798","42,917","62,771","73,884","59,613","36,321","16,832","3,076","54","196,211","196,211","12,586","24,395","22,203","21,618","29,374","34,690","28,043","15,967","6,456","872","7","212,532","212,532","11,869","22,627","19,595","21,299","33,397","39,194","31,570","20,354","10,376","2,204","47","408,527","408,527","24,305","47,090","41,606","42,937","62,624","73,802","59,629","36,527","16,839","3,109","59","196,076","196,076","12,505","24,449","22,104","21,614","29,304","34,624","28,054","16,066","6,471","876","9","212,451","212,451","11,800","22,641","19,502","21,323","33,320","39,178","31,575","20,461","10,368","2,233","50","408,147","408,147","24,213","47,016","41,461","42,906","62,559","73,674","59,643","36,644","16,864","3,105","62","195,878","195,878","12,448","24,415","22,038","21,587","29,290","34,543","28,066","16,124","6,481","877","9","212,269","212,269","11,765","22,601","19,423","21,319","33,269","39,131","31,577","20,520","10,383","2,228","53"
"대구광역시 달서구 (2729000000)","516,497","516,497","27,221","48,762","58,408","61,078","72,141","94,799","86,608","45,838","18,755","2,837","50","252,812","252,812","14,035","24,801","30,596","32,961","35,529","45,382","41,286","20,657","6,877","675","13","263,685","263,685","13,186","23,961","27,812","28,117","36,612","49,417","45,322","25,181","11,878","2,162","37","516,019","516,019","27,093","48,774","58,042","60,979","71,859","94,561","86,808","46,232","18,726","2,896","49","252,501","252,501","13,974","24,773","30,442","32,866","35,430","45,241","41,371","20,814","6,880","697","13","263,518","263,518","13,119","24,001","27,600","28,113","36,429","49,320","45,437","25,418","11,846","2,199","36","515,142","515,142","26,929","48,600","57,588","61,086","71,471","94,013","87,012","46,668","18,787","2,938","50","252,041","252,041","13,887","24,698","30,189","32,904","35,242","45,026","41,401","21,049","6,916","717","12","263,101","263,101","13,042","23,902","27,399","28,182","36,229","48,987","45,611","25,619","11,871","2,221","38","514,677","514,677","26,811","48,591","57,248","61,080","71,296","93,813","87,091","46,943","18,768","2,986","50","251,742","251,742","13,812","24,696","30,037","32,845","35,175","44,892","41,447","21,169","6,922","735","12","262,935","262,935","12,999","23,895","27,211","28,235","36,121","48,921","45,644","25,774","11,846","2,251","38","514,075","514,075","26,685","48,485","57,018","61,064","71,063","93,508","87,174","47,222","18,800","3,006","50","251,408","251,408","13,747","24,654","29,886","32,828","35,078","44,734","41,485","21,290","6,956","738","12","262,667","262,667","12,938","23,831","27,132","28,236","35,985","48,774","45,689","25,932","11,844","2,268","38","513,399","513,399","26,526","48,453","56,683","61,016","70,913","93,303","87,142","47,468","18,812","3,035","48","251,013","251,013","13,653","24,652","29,666","32,846","34,986","44,639","41,430","21,412","6,973","744","12","262,386","262,386","12,873","23,801","27,017","28,170","35,927","48,664","45,712","26,056","11,839","2,291","36"
"대구광역시 달성군 (2771000000)","254,213","254,213","20,379","27,161","22,128","33,000","43,633","41,505","37,847","19,499","7,750","1,286","25","128,771","128,771","10,338","13,949","12,391","17,730","22,533","20,958","18,673","9,166","2,763","266","4","125,442","125,442","10,041","13,212","9,737","15,270","21,100","20,547","19,174","10,333","4,987","1,020","21","253,530","253,530","20,157","27,052","21,975","32,731","43,564","41,444","37,896","19,617","7,764","1,305","25","128,496","128,496","10,226","13,898","12,345","17,617","22,508","20,934","18,722","9,200","2,772","270","4","125,034","125,034","9,931","13,154","9,630","15,114","21,056","20,510","19,174","10,417","4,992","1,035","21","253,014","253,014","19,989","27,010","21,755","32,664","43,401","41,251","38,022","19,809","7,765","1,324","24","128,168","128,168","10,136","13,864","12,215","17,585","22,409","20,831","18,766","9,292","2,793","273","4","124,846","124,846","9,853","13,146","9,540","15,079","20,992","20,420","19,256","10,517","4,972","1,051","20","252,627","252,627","19,838","27,038","21,630","32,522","43,310","41,152","38,096","19,922","7,754","1,342","23","128,028","128,028","10,065","13,894","12,143","17,517","22,383","20,786","18,816","9,348","2,796","276","4","124,599","124,599","9,773","13,144","9,487","15,005","20,927","20,366","19,280","10,574","4,958","1,066","19","252,210","252,210","19,677","27,139","21,425","32,302","43,245","41,086","38,155","20,038","7,766","1,351","26","127,802","127,802","9,955","13,953","12,043","17,402","22,332","20,776","18,838","9,412","2,806","281","4","124,408","124,408","9,722","13,186","9,382","14,900","20,913","20,310","19,317","10,626","4,960","1,070","22","252,000","252,000","19,558","27,247","21,296","32,124","43,243","41,054","38,180","20,155","7,763","1,354","26","127,656","127,656","9,865","14,037","11,958","17,292","22,341","20,746","18,863","9,466","2,801","283","4","124,344","124,344","9,693","13,210","9,338","14,832","20,902","20,308","19,317","10,689","4,962","1,071","22"
"대구광역시 군위군 (2772000000)","22,536","22,536","441","815","914","1,139","1,637","3,540","6,276","4,534","2,700","536","4","11,740","11,740","250","447","540","680","931","2,030","3,468","2,290","978","126","0","10,796","10,796","191","368","374","459","706","1,510","2,808","2,244","1,722","410","4","22,567","22,567","441","810","924","1,138","1,635","3,519","6,307","4,564","2,682","543","4","11,762","11,762","254","444","544","684","932","2,013","3,489","2,298","979","125","0","10,805","10,805","187","366","380","454","703","1,506","2,818","2,266","1,703","418","4","22,587","22,587","442","809","914","1,141","1,632","3,498","6,328","4,596","2,671","553","3","11,775","11,775","253","447","538","689","924","2,002","3,501","2,316","976","129","0","10,812","10,812","189","362","376","452","708","1,496","2,827","2,280","1,695","424","3","22,667","22,667","443","811","924","1,140","1,643","3,507","6,340","4,634","2,669","553","3","11,824","11,824","252","449","544","684","935","2,004","3,510","2,339","978","129","0","10,843","10,843","191","362","380","456","708","1,503","2,830","2,295","1,691","424","3","22,674","22,674","444","807","918","1,150","1,629","3,516","6,329","4,666","2,659","553","3","11,823","11,823","249","448","537","692","926","2,006","3,509","2,358","969","129","0","10,851","10,851","195","359","381","458","703","1,510","2,820","2,308","1,690","424","3","22,622","22,622","445","798","909","1,148","1,623","3,511","6,317","4,668","2,650","550","3","11,794","11,794","249","442","530","689","919","2,004","3,499","2,367","966","129","0","10,828","10,828","196","356","379","459","704","1,507","2,818","2,301","1,684","421","3"
