"행정구역","2026년01월_계_총인구수","2026년01월_계_연령구간인구수","2026년01월_계_0~9세","2026년01월_계_10~19세","2026년01월_계_20~29세","2026년01월_계_30~39세","2026년01월_계_40~49세","2026년01월_계_50~59세","2026년01월_계_60~69세","2026년01월_계_70~79세","2026년01월_계_80~89세","2026년01월_계_90~99세","2026년01월_계_100세 이상","2026년01월_남_총인구수","2026년01월_남_연령구간인구수","2026년01월_남_0~9세","2026년01월_남_10~19세","2026년01월_남_20~29세","2026년01월_남_30~39세","2026년01월_남_40~49세","2026년01월_남_50~59세","2026년01월_남_60~69세","2026년01월_남_70~79세","2026년01월_남_80~89세","2026년01월_남_90~99세","2026년01월_남_100세 이상","2026년01월_여_총인구수","2026년01월_여_연령구간인구수","2026년01월_여_0~9세","2026년01월_여_10~19세","2026년01월_여_20~29세","2026년01월_여_30~39세","2026년01월_여_40~49세","2026년01월_여_50~59세","2026년01월_여_60~69세","2026년01월_여_70~79세","2026년01월_여_80~89세","2026년01월_여_90~99세","2026년01월_여_100세 이상","2026년02월_계_총인구수","2026년02월_계_연령구간인구수","2026년02월_계_0~9세","2026년02월_계_10~19세","2026년02월_계_20~29세","2026년02월_계_30~39세","2026년02월_계_40~49세","2026년02월_계_50~59세","2026년02월_계_60~69세","2026년02월_계_70~79세","2026년02월_계_80~89세","2026년02월_계_90~99세","2026년02월_계_100세 이상","2026년02월_남_총인구수","2026년02월_남_연령구간인구수","2026년02월_남_0~9세","2026년02월_남_10~19세","2026년02월_남_20~29세","2026년02월_남_30~39세","2026년02월_남_40~49세","2026년02월_남_50~59세","2026년02월_남_60~69세","2026년02월_남_70~79세","2026년02월_남_80~89세","2026년02월_남_90~99세","2026년02월_남_100세 이상","2026년02월_여_총인구수","2026년02월_여_연령구간인구수","2026년02월_여_0~9세","2026년02월_여_10~19세","2026년02월_여_20~29세","2026년02월_여_30~39세","2026년02월_여_40~49세","2026년02월_여_50~59세","2026년02월_여_60~69세","2026년02월_여_70~79세","2026년02월_여_80~89세","2026년02월_여_90~99세","2026년02월_여_100세 이상","2026년03월_계_총인구수","2026년03월_계_연령구간인구수","2026년03월_계_0~9세","2026년03월_계_10~19세","2026년03월_계_20~29세","2026년03월_계_30~39세","2026년03월_계_40~49세","2026년03월_계_50~59세","2026년03월_계_60~69세","2026년03월_계_70~79세","2026년03월_계_80~89세","2026년03월_계_90~99세","2026년03월_계_100세 이상","2026년03월_남_총인구수","2026년03월_남_연령구간인구수","2026년03월_남_0~9세","2026년03월_남_10~19세","2026년03월_남_20~29세","2026년03월_남_30~39세","2026년03월_남_40~49세","2026년03월_남_50~59세","2026년03월_남_60~69세","2026년03월_남_70~79세","2026년03월_남_80~89세","2026년03월_남_90~99세","2026년03월_남_100세 이상","2026년03월_여_총인구수","2026년03월_여_연령구간인구수","2026년03월_여_0~9세","2026년03월_여_10~19세","2026년03월_여_20~29세","2026년03월_여_30~39세","2026년03월_여_40~49세","2026년03월_여_50~59세","2026년03월_여_60~69세","2026년03월_여_70~79세","2026년03월_여_80~89세","2026년03월_여_90~99세","2026년03월_여_100세 이상","2026년04월_계_총인구수","2026년04월_계_연령구간인구수","2026년04월_계_0~9세","2026년04월_계_10~19세","2026년04월_계_20~29세","2026년04월_계_30~39세","2026년04월_계_40~49세","2026년04월_계_50~59세","2026년04월_계_60~69세","2026년04월_계_70~79세","2026년04월_계_80~89세","2026년04월_계_90~99세","2026년04월_계_100세 이상","2026년04월_남_총인구수","2026년04월_남_연령구간인구수","2026년04월_남_0~9세","2026년04월_남_10~19세","2026년04월_남_20~29세","2026년04월_남_30~39세","2026년04월_남_40~49세","2026년04월_남_50~59세","2026년04월_남_60~69세","2026년04월_남_70~79세","2026년04월_남_80~89세","2026년04월_남_90~99세","2026년04월_남_100세 이상","2026년04월_여_총인구수","2026년04월_여_연령구간인구수","2026년04월_여_0~9세","2026년04월_여_10~19세","2026년04월_여_20~29세","2026년04월_여_30~39세","2026년04월_여_40~49세","2026년04월_여_50~59세","2026년04월_여_60~69세","2026년04월_여_70~79세","2026년04월_여_80~89세","2026년04월_여_90~99세","2026년04월_여_100세 이상","2026년05월_계_총인구수","2026년05월_계_연령구간인구수","2026년05월_계_0~9세","2026년05월_계_10~19세","2026년05월_계_20~29세","2026년05월_계_30~39세","2026년05월_계_40~49세","2026년05월_계_50~59세","2026년05월_계_60~69세","2026년05월_계_70~79세","2026년05월_계_80~89세","2026년05월_계_90~99세","2026년05월_계_100세 이상","2026년05월_남_총인구수","2026년05월_남_연령구간인구수","2026년05월_남_0~9세","2026년05월_남_10~19세","2026년05월_남_20~29세","2026년05월_남_30~39세","2026년05월_남_40~49세","2026년05월_남_50~59세","2026년05월_남_60~69세","2026년05월_남_70~79세","2026년05월_남_80~89세","2026년05월_남_90~99세","2026년05월_남_100세 이상","2026년05월_여_총인구수","2026년05월_여_연령구간인구수","2026년05월_여_0~9세","2026년05월_여_10~19세","2026년05월_여_20~29세","2026년05월_여_30~39세","2026년05월_여_40~49세","2026년05월_여_50~59세","2026년05월_여_60~69세","2026년05월_여_70~79세","2026년05월_여_80~89세","2026년05월_여_90~99세","2026년05월_여_100세 이상","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~9세","2026년06월_남_10~19세","2026년06월_남_20~29세","2026년06월_남_30~39세","2026년06월_남_40~49세","2026년06월_남_50~59세","2026년06월_남_60~69세","2026년06월_남_70~79세","2026년06월_남_80~89세","2026년06월_남_90~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~9세","2026년06월_여_10~19세","2026년06월_여_20~29세","2026년06월_여_30~39세","2026년06월_여_40~49세","2026년06월_여_50~59세","2026년06월_여_60~69세","2026년06월_여_70~79세","2026년06월_여_80~89세","2026년06월_여_90~99세","2026년06월_여_100세 이상"
"서울특별시  (1100000000)","9,299,701","9,299,701","459,382","717,738","1,249,445","1,463,641","1,363,204","1,469,734","1,317,268","833,117","368,738","56,001","1,433","4,480,849","4,480,849","235,856","366,467","584,175","731,419","673,590","722,702","624,663","375,225","150,413","16,046","293","4,818,852","4,818,852","223,526","351,271","665,270","732,222","689,614","747,032","692,605","457,892","218,325","39,955","1,140","9,304,129","9,304,129","458,247","719,748","1,247,112","1,461,351","1,364,041","1,470,032","1,318,104","837,711","369,688","56,640","1,455","4,482,300","4,482,300","235,407","367,061","583,070","730,032","674,206","722,604","625,188","377,339","150,810","16,277","306","4,821,829","4,821,829","222,840","352,687","664,042","731,319","689,835","747,428","692,916","460,372","218,878","40,363","1,149","9,304,400","9,304,400","456,732","720,532","1,244,285","1,465,489","1,359,551","1,465,982","1,318,774","843,052","371,068","57,476","1,459","4,480,938","4,480,938","234,552","367,102","581,304","731,780","671,979","720,648","625,631","379,647","151,419","16,565","311","4,823,462","4,823,462","222,180","353,430","662,981","733,709","687,572","745,334","693,143","463,405","219,649","40,911","1,148","9,298,673","9,298,673","455,648","719,027","1,239,522","1,467,418","1,357,334","1,464,286","1,318,622","845,655","371,689","58,015","1,457","4,477,462","4,477,462","234,006","366,300","578,643","732,780","670,811","719,694","625,746","380,725","151,718","16,725","314","4,821,211","4,821,211","221,642","352,727","660,879","734,638","686,523","744,592","692,876","464,930","219,971","41,290","1,143","9,295,082","9,295,082","454,209","717,591","1,235,814","1,469,331","1,355,855","1,462,755","1,318,017","848,552","373,053","58,443","1,462","4,475,263","4,475,263","233,356","365,613","576,464","733,823","670,066","718,664","625,782","381,914","152,333","16,932","316","4,819,819","4,819,819","220,853","351,978","659,350","735,508","685,789","744,091","692,235","466,638","220,720","41,511","1,146","9,289,813","9,289,813","453,265","716,175","1,232,287","1,469,771","1,355,706","1,461,205","1,316,536","850,440","374,484","58,475","1,469","4,471,801","4,471,801","232,823","364,893","574,435","733,901","669,845","717,799","625,291","382,563","152,996","16,938","317","4,818,012","4,818,012","220,442","351,282","657,852","735,870","685,861","743,406","691,245","467,877","221,488","41,537","1,152"
"서울특별시 종로구 (1111000000)","136,798","136,798","5,056","9,143","20,071","19,836","18,147","22,783","20,990","12,652","6,864","1,222","34","65,539","65,539","2,588","4,472","9,295","9,889","8,699","11,176","10,470","5,843","2,707","391","9","71,259","71,259","2,468","4,671","10,776","9,947","9,448","11,607","10,520","6,809","4,157","831","25","136,764","136,764","5,041","9,182","20,095","19,786","18,091","22,774","20,979","12,680","6,864","1,237","35","65,495","65,495","2,577","4,480","9,313","9,859","8,671","11,170","10,458","5,861","2,704","391","11","71,269","71,269","2,464","4,702","10,782","9,927","9,420","11,604","10,521","6,819","4,160","846","24","136,817","136,817","5,017","9,216","20,062","19,922","18,041","22,678","20,978","12,762","6,857","1,249","35","65,500","65,500","2,573","4,486","9,290","9,933","8,639","11,123","10,446","5,895","2,706","397","12","71,317","71,317","2,444","4,730","10,772","9,989","9,402","11,555","10,532","6,867","4,151","852","23","136,716","136,716","5,013","9,186","20,011","19,921","18,033","22,594","21,009","12,787","6,868","1,260","34","65,420","65,420","2,570","4,470","9,267","9,927","8,635","11,066","10,442","5,921","2,713","397","12","71,296","71,296","2,443","4,716","10,744","9,994","9,398","11,528","10,567","6,866","4,155","863","22","136,518","136,518","4,996","9,127","19,942","19,932","17,988","22,532","20,994","12,814","6,891","1,263","39","65,362","65,362","2,577","4,448","9,211","9,953","8,636","11,024","10,448","5,936","2,714","402","13","71,156","71,156","2,419","4,679","10,731","9,979","9,352","11,508","10,546","6,878","4,177","861","26","136,318","136,318","4,973","9,062","19,870","19,983","17,996","22,468","20,923","12,831","6,896","1,276","40","65,255","65,255","2,560","4,429","9,183","9,959","8,642","10,984","10,426","5,929","2,727","403","13","71,063","71,063","2,413","4,633","10,687","10,024","9,354","11,484","10,497","6,902","4,169","873","27"
"서울특별시 중구 (1114000000)","117,718","117,718","4,939","5,763","15,651","21,257","16,064","17,797","17,878","11,513","5,820","1,015","21","56,484","56,484","2,497","2,878","6,968","10,581","8,056","8,929","8,811","5,282","2,213","264","5","61,234","61,234","2,442","2,885","8,683","10,676","8,008","8,868","9,067","6,231","3,607","751","16","117,625","117,625","4,854","5,861","15,575","21,165","16,084","17,779","17,858","11,578","5,835","1,014","22","56,464","56,464","2,473","2,925","6,932","10,542","8,067","8,920","8,794","5,321","2,220","265","5","61,161","61,161","2,381","2,936","8,643","10,623","8,017","8,859","9,064","6,257","3,615","749","17","117,762","117,762","4,852","5,881","15,589","21,219","16,104","17,746","17,847","11,632","5,837","1,033","22","56,567","56,567","2,471","2,936","6,958","10,562","8,074","8,920","8,803","5,349","2,218","271","5","61,195","61,195","2,381","2,945","8,631","10,657","8,030","8,826","9,044","6,283","3,619","762","17","117,760","117,760","4,846","5,844","15,534","21,258","16,116","17,756","17,822","11,697","5,822","1,043","22","56,561","56,561","2,475","2,914","6,917","10,593","8,066","8,933","8,787","5,381","2,212","277","6","61,199","61,199","2,371","2,930","8,617","10,665","8,050","8,823","9,035","6,316","3,610","766","16","117,765","117,765","4,830","5,850","15,491","21,274","16,127","17,747","17,798","11,729","5,847","1,047","25","56,536","56,536","2,456","2,924","6,908","10,594","8,078","8,889","8,785","5,397","2,224","275","6","61,229","61,229","2,374","2,926","8,583","10,680","8,049","8,858","9,013","6,332","3,623","772","19","117,558","117,558","4,828","5,841","15,371","21,242","16,146","17,699","17,760","11,764","5,842","1,039","26","56,416","56,416","2,450","2,916","6,858","10,564","8,081","8,857","8,775","5,412","2,222","275","6","61,142","61,142","2,378","2,925","8,513","10,678","8,065","8,842","8,985","6,352","3,620","764","20"
"서울특별시 용산구 (1117000000)","201,746","201,746","9,818","12,684","26,339","37,230","29,073","31,847","28,201","16,276","8,629","1,597","52","95,984","95,984","4,967","6,477","11,706","18,097","14,364","15,441","13,790","7,342","3,286","496","18","105,762","105,762","4,851","6,207","14,633","19,133","14,709","16,406","14,411","8,934","5,343","1,101","34","201,494","201,494","9,786","12,702","26,201","37,095","29,072","31,831","28,154","16,390","8,597","1,613","53","95,846","95,846","4,958","6,476","11,619","18,057","14,370","15,409","13,763","7,406","3,275","496","17","105,648","105,648","4,828","6,226","14,582","19,038","14,702","16,422","14,391","8,984","5,322","1,117","36","200,962","200,962","9,780","12,682","26,001","37,073","28,939","31,671","28,146","16,406","8,584","1,627","53","95,540","95,540","4,961","6,440","11,495","18,031","14,287","15,362","13,747","7,432","3,264","505","16","105,422","105,422","4,819","6,242","14,506","19,042","14,652","16,309","14,399","8,974","5,320","1,122","37","200,187","200,187","9,754","12,658","25,809","37,005","28,857","31,536","27,994","16,350","8,522","1,644","58","95,104","95,104","4,943","6,433","11,390","17,973","14,229","15,289","13,674","7,400","3,251","503","19","105,083","105,083","4,811","6,225","14,419","19,032","14,628","16,247","14,320","8,950","5,271","1,141","39","199,810","199,810","9,717","12,607","25,671","36,975","28,840","31,475","27,932","16,391","8,494","1,649","59","94,881","94,881","4,924","6,389","11,329","17,955","14,214","15,231","13,647","7,431","3,238","503","20","104,929","104,929","4,793","6,218","14,342","19,020","14,626","16,244","14,285","8,960","5,256","1,146","39","199,648","199,648","9,737","12,569","25,587","36,964","28,896","31,407","27,848","16,424","8,493","1,665","58","94,807","94,807","4,919","6,375","11,274","17,955","14,255","15,186","13,640","7,440","3,236","508","19","104,841","104,841","4,818","6,194","14,313","19,009","14,641","16,221","14,208","8,984","5,257","1,157","39"
"서울특별시 성동구 (1120000000)","274,695","274,695","15,651","17,131","37,644","48,439","39,575","42,769","38,520","22,448","10,897","1,591","30","132,585","132,585","8,061","8,454","17,885","23,805","19,865","20,872","18,861","10,120","4,228","429","5","142,110","142,110","7,590","8,677","19,759","24,634","19,710","21,897","19,659","12,328","6,669","1,162","25","274,854","274,854","15,592","17,242","37,653","48,267","39,608","42,822","38,505","22,606","10,917","1,611","31","132,577","132,577","8,025","8,442","17,900","23,721","19,872","20,889","18,844","10,200","4,243","435","6","142,277","142,277","7,567","8,800","19,753","24,546","19,736","21,933","19,661","12,406","6,674","1,176","25","275,093","275,093","15,646","17,333","37,645","48,387","39,518","42,734","38,524","22,709","10,916","1,650","31","132,662","132,662","8,049","8,481","17,930","23,748","19,829","20,858","18,831","10,247","4,237","446","6","142,431","142,431","7,597","8,852","19,715","24,639","19,689","21,876","19,693","12,462","6,679","1,204","25","274,917","274,917","15,631","17,309","37,546","48,384","39,477","42,728","38,508","22,737","10,910","1,658","29","132,590","132,590","8,022","8,479","17,897","23,750","19,818","20,876","18,823","10,250","4,226","443","6","142,327","142,327","7,609","8,830","19,649","24,634","19,659","21,852","19,685","12,487","6,684","1,215","23","274,694","274,694","15,640","17,242","37,362","48,358","39,477","42,656","38,561","22,754","10,955","1,658","31","132,408","132,408","8,004","8,487","17,745","23,741","19,797","20,837","18,862","10,239","4,249","441","6","142,286","142,286","7,636","8,755","19,617","24,617","19,680","21,819","19,699","12,515","6,706","1,217","25","274,517","274,517","15,629","17,187","37,232","48,379","39,523","42,576","38,525","22,814","10,969","1,652","31","132,380","132,380","8,007","8,496","17,683","23,773","19,832","20,779","18,845","10,265","4,264","431","5","142,137","142,137","7,622","8,691","19,549","24,606","19,691","21,797","19,680","12,549","6,705","1,221","26"
"서울특별시 광진구 (1121500000)","330,933","330,933","13,446","22,815","54,622","56,792","45,960","51,138","45,773","26,769","11,773","1,800","45","158,412","158,412","6,872","11,530","24,954","28,244","22,440","24,810","21,982","12,146","4,908","513","13","172,521","172,521","6,574","11,285","29,668","28,548","23,520","26,328","23,791","14,623","6,865","1,287","32","331,095","331,095","13,416","22,854","54,624","56,682","45,982","51,100","45,854","26,863","11,839","1,834","47","158,509","158,509","6,866","11,528","25,005","28,169","22,457","24,797","22,035","12,180","4,938","520","14","172,586","172,586","6,550","11,326","29,619","28,513","23,525","26,303","23,819","14,683","6,901","1,314","33","331,123","331,123","13,379","22,967","54,538","56,800","45,857","50,875","45,898","27,024","11,883","1,858","44","158,449","158,449","6,848","11,569","24,932","28,227","22,368","24,691","22,049","12,267","4,958","527","13","172,674","172,674","6,531","11,398","29,606","28,573","23,489","26,184","23,849","14,757","6,925","1,331","31","331,029","331,029","13,339","22,920","54,349","56,926","45,871","50,720","45,938","27,153","11,891","1,877","45","158,364","158,364","6,823","11,548","24,795","28,268","22,391","24,623","22,088","12,317","4,966","532","13","172,665","172,665","6,516","11,372","29,554","28,658","23,480","26,097","23,850","14,836","6,925","1,345","32","331,136","331,136","13,317","22,871","54,339","57,020","45,812","50,693","45,957","27,265","11,941","1,874","47","158,341","158,341","6,799","11,524","24,727","28,334","22,396","24,597","22,061","12,364","4,993","533","13","172,795","172,795","6,518","11,347","29,612","28,686","23,416","26,096","23,896","14,901","6,948","1,341","34","330,905","330,905","13,265","22,805","54,203","57,074","45,786","50,606","45,917","27,345","11,979","1,881","44","158,151","158,151","6,779","11,474","24,597","28,372","22,396","24,518","22,072","12,386","5,015","530","12","172,754","172,754","6,486","11,331","29,606","28,702","23,390","26,088","23,845","14,959","6,964","1,351","32"
"서울특별시 동대문구 (1123000000)","348,620","348,620","17,752","22,771","55,094","54,791","48,081","52,663","48,814","31,354","15,119","2,130","51","169,928","169,928","9,037","11,535","25,741","27,830","24,593","26,462","23,893","14,173","6,017","634","13","178,692","178,692","8,715","11,236","29,353","26,961","23,488","26,201","24,921","17,181","9,102","1,496","38","350,393","350,393","17,776","23,267","55,434","55,028","48,207","52,859","48,909","31,537","15,152","2,172","52","170,741","170,741","9,068","11,742","25,957","27,918","24,626","26,563","23,918","14,261","6,024","651","13","179,652","179,652","8,708","11,525","29,477","27,110","23,581","26,296","24,991","17,276","9,128","1,521","39","351,542","351,542","17,782","23,502","55,656","55,434","48,216","52,756","48,959","31,741","15,249","2,194","53","171,239","171,239","9,064","11,861","25,989","28,121","24,652","26,519","23,924","14,376","6,055","665","13","180,303","180,303","8,718","11,641","29,667","27,313","23,564","26,237","25,035","17,365","9,194","1,529","40","351,656","351,656","17,796","23,432","55,527","55,627","48,250","52,672","48,980","31,849","15,260","2,211","52","171,281","171,281","9,093","11,812","25,939","28,205","24,668","26,458","23,959","14,414","6,058","663","12","180,375","180,375","8,703","11,620","29,588","27,422","23,582","26,214","25,021","17,435","9,202","1,548","40","352,299","352,299","17,847","23,376","55,573","55,964","48,321","52,683","48,945","31,999","15,307","2,232","52","171,585","171,585","9,118","11,800","25,931","28,364","24,688","26,464","23,950","14,504","6,076","679","11","180,714","180,714","8,729","11,576","29,642","27,600","23,633","26,219","24,995","17,495","9,231","1,553","41","352,848","352,848","17,944","23,309","55,543","56,239","48,440","52,717","48,934","32,084","15,350","2,236","52","171,755","171,755","9,157","11,771","25,880","28,463","24,729","26,472","23,979","14,520","6,086","687","11","181,093","181,093","8,787","11,538","29,663","27,776","23,711","26,245","24,955","17,564","9,264","1,549","41"
"서울특별시 중랑구 (1126000000)","376,920","376,920","16,553","23,097","44,865","58,787","50,689","61,729","64,200","38,260","16,389","2,291","60","184,035","184,035","8,411","11,897","21,134","29,914","26,394","30,425","31,113","17,491","6,638","609","9","192,885","192,885","8,142","11,200","23,731","28,873","24,295","31,304","33,087","20,769","9,751","1,682","51","376,884","376,884","16,390","23,122","44,832","58,737","50,587","61,636","64,299","38,490","16,417","2,314","60","183,932","183,932","8,331","11,895","21,075","29,876","26,338","30,394","31,156","17,592","6,645","620","10","192,952","192,952","8,059","11,227","23,757","28,861","24,249","31,242","33,143","20,898","9,772","1,694","50","376,665","376,665","16,292","23,076","44,575","58,935","50,424","61,275","64,428","38,741","16,508","2,348","63","183,800","183,800","8,279","11,847","20,943","29,985","26,228","30,227","31,226","17,733","6,684","638","10","192,865","192,865","8,013","11,229","23,632","28,950","24,196","31,048","33,202","21,008","9,824","1,710","53","376,570","376,570","16,266","22,983","44,348","59,098","50,362","61,139","64,451","38,924","16,565","2,373","61","183,773","183,773","8,274","11,803","20,829","30,088","26,204","30,170","31,215","17,835","6,702","643","10","192,797","192,797","7,992","11,180","23,519","29,010","24,158","30,969","33,236","21,089","9,863","1,730","51","376,463","376,463","16,233","22,936","44,178","59,235","50,321","60,932","64,448","39,108","16,634","2,377","61","183,671","183,671","8,257","11,760","20,737","30,122","26,182","30,100","31,211","17,919","6,718","655","10","192,792","192,792","7,976","11,176","23,441","29,113","24,139","30,832","33,237","21,189","9,916","1,722","51","376,386","376,386","16,206","22,878","44,093","59,263","50,346","60,798","64,419","39,215","16,724","2,384","60","183,583","183,583","8,252","11,732","20,670","30,150","26,186","30,001","31,198","17,969","6,755","660","10","192,803","192,803","7,954","11,146","23,423","29,113","24,160","30,797","33,221","21,246","9,969","1,724","50"
"서울특별시 성북구 (1129000000)","422,146","422,146","21,357","33,746","62,354","56,864","59,627","70,765","58,609","37,400","18,566","2,792","66","201,710","201,710","11,021","17,063","29,022","28,446","29,421","34,718","27,522","16,409","7,282","793","13","220,436","220,436","10,336","16,683","33,332","28,418","30,206","36,047","31,087","20,991","11,284","1,999","53","422,542","422,542","21,236","34,185","62,357","56,734","59,496","70,822","58,667","37,564","18,586","2,826","69","201,881","201,881","10,977","17,178","29,097","28,381","29,363","34,727","27,556","16,490","7,289","808","15","220,661","220,661","10,259","17,007","33,260","28,353","30,133","36,095","31,111","21,074","11,297","2,018","54","422,778","422,778","21,184","34,373","62,353","56,908","59,273","70,639","58,635","37,792","18,674","2,880","67","201,797","201,797","10,947","17,197","29,048","28,422","29,258","34,614","27,577","16,598","7,304","818","14","220,981","220,981","10,237","17,176","33,305","28,486","30,015","36,025","31,058","21,194","11,370","2,062","53","422,452","422,452","21,169","34,252","62,224","56,970","59,173","70,503","58,633","37,872","18,689","2,899","68","201,576","201,576","10,937","17,150","28,914","28,452","29,211","34,541","27,591","16,634","7,305","826","15","220,876","220,876","10,232","17,102","33,310","28,518","29,962","35,962","31,042","21,238","11,384","2,073","53","422,190","422,190","21,103","34,115","62,131","57,100","59,101","70,356","58,570","37,992","18,745","2,906","71","201,401","201,401","10,906","17,090","28,836","28,517","29,163","34,440","27,597","16,685","7,316","836","15","220,789","220,789","10,197","17,025","33,295","28,583","29,938","35,916","30,973","21,307","11,429","2,070","56","421,762","421,762","21,005","33,985","61,979","57,119","59,091","70,249","58,528","37,999","18,824","2,910","73","201,144","201,144","10,854","17,038","28,758","28,482","29,194","34,372","27,545","16,695","7,356","835","15","220,618","220,618","10,151","16,947","33,221","28,637","29,897","35,877","30,983","21,304","11,468","2,075","58"
"서울특별시 강북구 (1130500000)","278,750","278,750","9,536","17,801","34,030","34,325","36,131","48,619","47,647","32,470","16,097","2,053","41","134,054","134,054","4,832","9,091","15,752","17,981","18,823","24,030","22,680","14,002","6,246","612","5","144,696","144,696","4,704","8,710","18,278","16,344","17,308","24,589","24,967","18,468","9,851","1,441","36","278,786","278,786","9,500","17,872","33,911","34,264","36,075","48,625","47,673","32,605","16,130","2,087","44","134,045","134,045","4,812","9,078","15,704","17,949","18,825","24,024","22,683","14,078","6,265","619","8","144,741","144,741","4,688","8,794","18,207","16,315","17,250","24,601","24,990","18,527","9,865","1,468","36","278,786","278,786","9,439","17,899","33,835","34,334","35,953","48,461","47,761","32,758","16,178","2,123","45","133,943","133,943","4,778","9,062","15,603","17,976","18,778","23,957","22,740","14,132","6,276","633","8","144,843","144,843","4,661","8,837","18,232","16,358","17,175","24,504","25,021","18,626","9,902","1,490","37","278,520","278,520","9,391","17,835","33,732","34,323","35,819","48,392","47,776","32,837","16,205","2,165","45","133,827","133,827","4,781","9,013","15,566","17,982","18,714","23,919","22,755","14,169","6,274","645","9","144,693","144,693","4,610","8,822","18,166","16,341","17,105","24,473","25,021","18,668","9,931","1,520","36","278,294","278,294","9,384","17,756","33,641","34,338","35,854","48,198","47,758","32,870","16,258","2,192","45","133,729","133,729","4,777","8,996","15,523","18,010","18,713","23,850","22,739","14,160","6,299","652","10","144,565","144,565","4,607","8,760","18,118","16,328","17,141","24,348","25,019","18,710","9,959","1,540","35","278,041","278,041","9,363","17,658","33,563","34,348","35,804","48,147","47,719","32,888","16,304","2,202","45","133,590","133,590","4,767","8,968","15,441","18,024","18,681","23,823","22,724","14,180","6,320","652","10","144,451","144,451","4,596","8,690","18,122","16,324","17,123","24,324","24,995","18,708","9,984","1,550","35"
