행정구역명,행정구역코드,STRD_YYMM,GENDER_CD,AGE_CD,인구
강원특별자치도 강릉시,5115000000,202601,1,1,13902
강원특별자치도 강릉시,5115000000,202601,1,2,10990
강원특별자치도 강릉시,5115000000,202601,1,3,11051
강원특별자치도 강릉시,5115000000,202601,1,4,13633
강원특별자치도 강릉시,5115000000,202601,1,5,18610
강원특별자치도 강릉시,5115000000,202601,1,6,33800
강원특별자치도 강릉시,5115000000,202601,2,1,12732
강원특별자치도 강릉시,5115000000,202601,2,2,8999
강원특별자치도 강릉시,5115000000,202601,2,3,9495
강원특별자치도 강릉시,5115000000,202601,2,4,13370
강원특별자치도 강릉시,5115000000,202601,2,5,17884
강원특별자치도 강릉시,5115000000,202601,2,6,41500
강원특별자치도 강릉시,5115000000,202602,1,1,13853
강원특별자치도 강릉시,5115000000,202602,1,2,10985
강원특별자치도 강릉시,5115000000,202602,1,3,11047
강원특별자치도 강릉시,5115000000,202602,1,4,13594
강원특별자치도 강릉시,5115000000,202602,1,5,18575
강원특별자치도 강릉시,5115000000,202602,1,6,33912
강원특별자치도 강릉시,5115000000,202602,2,1,12705
강원특별자치도 강릉시,5115000000,202602,2,2,9000
강원특별자치도 강릉시,5115000000,202602,2,3,9475
강원특별자치도 강릉시,5115000000,202602,2,4,13302
강원특별자치도 강릉시,5115000000,202602,2,5,17856
강원특별자치도 강릉시,5115000000,202602,2,6,41591
강원특별자치도 강릉시,5115000000,202603,1,1,13815
강원특별자치도 강릉시,5115000000,202603,1,2,11049
강원특별자치도 강릉시,5115000000,202603,1,3,11077
강원특별자치도 강릉시,5115000000,202603,1,4,13554
강원특별자치도 강릉시,5115000000,202603,1,5,18463
강원특별자치도 강릉시,5115000000,202603,1,6,34077
강원특별자치도 강릉시,5115000000,202603,2,1,12660
강원특별자치도 강릉시,5115000000,202603,2,2,8937
강원특별자치도 강릉시,5115000000,202603,2,3,9525
강원특별자치도 강릉시,5115000000,202603,2,4,13201
강원특별자치도 강릉시,5115000000,202603,2,5,17793
강원특별자치도 강릉시,5115000000,202603,2,6,41740
강원특별자치도 강릉시,5115000000,202604,1,1,13785
강원특별자치도 강릉시,5115000000,202604,1,2,11036
강원특별자치도 강릉시,5115000000,202604,1,3,11089
강원특별자치도 강릉시,5115000000,202604,1,4,13518
강원특별자치도 강릉시,5115000000,202604,1,5,18452
강원특별자치도 강릉시,5115000000,202604,1,6,34153
강원특별자치도 강릉시,5115000000,202604,2,1,12624
강원특별자치도 강릉시,5115000000,202604,2,2,8913
강원특별자치도 강릉시,5115000000,202604,2,3,9527
강원특별자치도 강릉시,5115000000,202604,2,4,13136
강원특별자치도 강릉시,5115000000,202604,2,5,17777
강원특별자치도 강릉시,5115000000,202604,2,6,41839
강원특별자치도 강릉시,5115000000,202605,1,1,13740
강원특별자치도 강릉시,5115000000,202605,1,2,11041
