행정구역명,행정구역코드,구분수준,STRD_YYMM,총인구수,20대이하_인구,20대_인구,30대_인구,40대_인구,50대_인구,60대이상_인구
서울특별시,1100000000,시도,202601,9299701.0,1177120.0,1249445.0,1463641.0,1363204.0,1469734.0,2576557.0
서울특별시 종로구,1111000000,시군구,202601,136798.0,14199.0,20071.0,19836.0,18147.0,22783.0,41762.0
서울특별시 중구,1114000000,시군구,202601,117718.0,10702.0,15651.0,21257.0,16064.0,17797.0,36247.0
서울특별시 용산구,1117000000,시군구,202601,201746.0,22502.0,26339.0,37230.0,29073.0,31847.0,54755.0
서울특별시 성동구,1120000000,시군구,202601,274695.0,32782.0,37644.0,48439.0,39575.0,42769.0,73486.0
서울특별시 광진구,1121500000,시군구,202601,330933.0,36261.0,54622.0,56792.0,45960.0,51138.0,86160.0
서울특별시 동대문구,1123000000,시군구,202601,348620.0,40523.0,55094.0,54791.0,48081.0,52663.0,97468.0
서울특별시 중랑구,1126000000,시군구,202601,376920.0,39650.0,44865.0,58787.0,50689.0,61729.0,121200.0
서울특별시 성북구,1129000000,시군구,202601,422146.0,55103.0,62354.0,56864.0,59627.0,70765.0,117433.0
서울특별시 강북구,1130500000,시군구,202601,278750.0,27337.0,34030.0,34325.0,36131.0,48619.0,98308.0
서울특별시 도봉구,1132000000,시군구,202601,299545.0,32888.0,33122.0,37202.0,39550.0,51922.0,104861.0
서울특별시 노원구,1135000000,시군구,202601,482461.0,66571.0,60581.0,61089.0,68741.0,83777.0,141702.0
서울특별시 은평구,1138000000,시군구,202601,454860.0,53810.0,55567.0,66789.0,64403.0,76701.0,137590.0
서울특별시 서대문구,1141000000,시군구,202601,299942.0,36796.0,44714.0,45036.0,41990.0,47684.0,83722.0
서울특별시 마포구,1144000000,시군구,202601,357232.0,43855.0,54339.0,64551.0,54473.0,55803.0,84211.0
서울특별시 양천구,1147000000,시군구,202601,424606.0,68792.0,46414.0,51695.0,69320.0,71934.0,116451.0
서울특별시 강서구,1150000000,시군구,202601,549536.0,66594.0,71210.0,96222.0,81618.0,81413.0,152479.0
서울특별시 구로구,1153000000,시군구,202601,383226.0,46350.0,45706.0,61397.0,54598.0,59975.0,115200.0
서울특별시 금천구,1154500000,시군구,202601,223012.0,20285.0,31419.0,39776.0,27501.0,34992.0,69039.0
서울특별시 영등포구,1156000000,시군구,202601,371228.0,42000.0,52482.0,74205.0,52073.0,53859.0,96609.0
서울특별시 동작구,1159000000,시군구,202601,371748.0,42137.0,59634.0,61559.0,50995.0,56388.0,101035.0
서울특별시 관악구,1162000000,시군구,202601,477657.0,37394.0,101295.0,94163.0,57635.0,64521.0,122649.0
서울특별시 서초구,1165000000,시군구,202601,415407.0,72353.0,48018.0,57732.0,71400.0,68391.0,97513.0
서울특별시 강남구,1168000000,시군구,202601,555787.0,95842.0,62843.0,80365.0,99993.0,88546.0,128198.0
서울특별시 송파구,1171000000,시군구,202601,645821.0,96634.0,75979.0,106174.0,104389.0,98418.0,164227.0
서울특별시 강동구,1174000000,시군구,202601,499307.0,75760.0,55452.0,77365.0,81178.0,75300.0,134252.0
부산광역시,2600000000,시도,202601,3239711.0,434049.0,336648.0,388026.0,459235.0,528984.0,1092769.0
부산광역시 중구,2611000000,시군구,202601,36449.0,2108.0,4617.0,4024.0,3889.0,5924.0,15887.0
부산광역시 서구,2614000000,시군구,202601,101633.0,11087.0,10570.0,10114.0,12663.0,16492.0,40707.0
부산광역시 동구,2617000000,시군구,202601,83765.0,7941.0,7980.0,10614.0,10494.0,13503.0,33233.0
부산광역시 영도구,2620000000,시군구,202601,101252.0,9810.0,8615.0,8842.0,11964.0,16814.0,45207.0
부산광역시 부산진구,2623000000,시군구,202601,365384.0,42855.0,46509.0,54200.0,49188.0,56112.0,116520.0
부산광역시 동래구,2626000000,시군구,202601,273171.0,43540.0,25639.0,32148.0,42382.0,44471.0,84991.0
부산광역시 남구,2629000000,시군구,202601,251114.0,34263.0,30111.0,26959.0,34935.0,41460.0,83386.0
부산광역시 북구,2632000000,시군구,202601,262506.0,33455.0,24924.0,31325.0,33680.0,45450.0,93672.0
부산광역시 해운대구,2635000000,시군구,202601,372400.0,55130.0,35547.0,41133.0,55377.0,65740.0,119473.0
부산광역시 사하구,2638000000,시군구,202601,285534.0,34992.0,29218.0,30243.0,38876.0,49158.0,103047.0
부산광역시 금정구,2641000000,시군구,202601,206039.0,23160.0,25449.0,20624.0,25257.0,33660.0,77889.0
부산광역시 강서구,2644000000,시군구,202601,150848.0,34568.0,10592.0,23855.0,31334.0,18777.0,31722.0
부산광역시 연제구,2647000000,시군구,202601,211664.0,29480.0,21395.0,28325.0,30954.0,33746.0,67764.0
부산광역시 수영구,2650000000,시군구,202601,168912.0,18702.0,19566.0,22815.0,22891.0,26050.0,58888.0
부산광역시 사상구,2653000000,시군구,202601,193750.0,20509.0,21153.0,22605.0,23985.0,33429.0,72069.0
부산광역시 기장군,2671000000,시군구,202601,175290.0,32449.0,14763.0,20200.0,31366.0,28198.0,48314.0
대구광역시,2700000000,시도,202601,2352249.0,346541.0,252223.0,285023.0,334864.0,412334.0,721264.0
대구광역시 중구,2711000000,시군구,202601,101099.0,15682.0,13515.0,18232.0,14961.0,14223.0,24486.0
대구광역시 동구,2714000000,시군구,202601,339167.0,45022.0,33780.0,44225.0,46564.0,56074.0,113502.0
대구광역시 서구,2717000000,시군구,202601,164018.0,16674.0,14556.0,19677.0,19512.0,28700.0,64899.0
대구광역시 남구,2720000000,시군구,202601,136497.0,13288.0,15913.0,16937.0,16679.0,22721.0,50959.0
대구광역시 북구,2723000000,시군구,202601,408890.0,59263.0,50288.0,48214.0,56672.0,76541.0,117912.0
대구광역시 수성구,2726000000,시군구,202601,409332.0,71833.0,42721.0,42521.0,63065.0,74231.0,114961.0
대구광역시 달서구,2729000000,시군구,202601,516497.0,75983.0,58408.0,61078.0,72141.0,94799.0,154088.0
대구광역시 달성군,2771000000,시군구,202601,254213.0,47540.0,22128.0,33000.0,43633.0,41505.0,66407.0
대구광역시 군위군,2772000000,시군구,202601,22536.0,1256.0,914.0,1139.0,1637.0,3540.0,14050.0
인천광역시,2800000000,시도,202601,3053308.0,464795.0,336620.0,431410.0,473849.0,516067.0,830567.0
인천광역시 중구,2811000000,시군구,202601,177090.0,28858.0,21845.0,29324.0,29573.0,27172.0,40318.0
인천광역시 동구,2814000000,시군구,202601,56469.0,6469.0,5220.0,6177.0,7880.0,9623.0,21100.0
인천광역시 미추홀구,2817700000,시군구,202601,417198.0,55309.0,48719.0,58530.0,62509.0,68826.0,123305.0
인천광역시 연수구,2818500000,시군구,202601,409814.0,80239.0,45113.0,57080.0,71097.0,68298.0,87987.0
인천광역시 남동구,2820000000,시군구,202601,480148.0,67819.0,53850.0,60764.0,72714.0,84620.0,140381.0
인천광역시 부평구,2823700000,시군구,202601,490227.0,64288.0,54502.0,73901.0,70490.0,83566.0,143480.0
인천광역시 계양구,2824500000,시군구,202601,277636.0,33146.0,31441.0,37219.0,37275.0,52535.0,86020.0
인천광역시 서구,2826000000,시군구,202601,655469.0,120492.0,69633.0,101951.0,113493.0,107642.0,142258.0
인천광역시 강화군,2871000000,시군구,202601,69698.0,6771.0,4136.0,4841.0,6936.0,10709.0,36305.0
인천광역시 옹진군,2872000000,시군구,202601,19559.0,1404.0,2161.0,1623.0,1882.0,3076.0,9413.0
광주광역시,2900000000,시도,202601,1390658.0,229370.0,169719.0,173471.0,212116.0,240961.0,365021.0
광주광역시 동구,2911000000,시군구,202601,104794.0,14182.0,13331.0,14194.0,14051.0,15460.0,33576.0
광주광역시 서구,2914000000,시군구,202601,275318.0,41177.0,35596.0,33863.0,40393.0,49521.0,74768.0
광주광역시 남구,2915500000,시군구,202601,207236.0,35696.0,21480.0,22981.0,32230.0,32774.0,62075.0
광주광역시 북구,2917000000,시군구,202601,416262.0,64868.0,49107.0,52839.0,61097.0,70953.0,117398.0
광주광역시 광산구,2920000000,시군구,202601,387048.0,73447.0,50205.0,49594.0,64345.0,72253.0,77204.0
대전광역시,3000000000,시도,202601,1440550.0,222061.0,186923.0,195029.0,208676.0,242636.0,385225.0
